0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
13,276,5,0.4,0,0,0,6.6,75.5,51.4,26.3,9.2,4.3
4.7,277,0.2,0,0,0,0,6.6,88.6,75.7,29.4,5.1,0
83.6,278,2.8,0.2,0,0,0,6.6,7.1,2.8,0.3,0,0
57.1,279,36.3,23.5,9,0.4,0,6.6,0,0,0,0,0
3.8,280,1.1,0.4,0,0,0,6.6,88.6,74.9,46.7,19.6,4.6
22.9,281,1.9,1.7,1.6,1,0.4,6.6,68.6,22.4,9.5,5.4,3.1
61.9,282,7.9,1.6,0.9,0.7,0.2,6.6,23.7,17.8,13.9,10,7
41.5,283,0,0,0,0,0,6.6,51.9,17.5,4.7,3.3,1.6
88.1,284,2.1,0,0,0,0,6.6,3.2,0.1,0,0,0
81.3,285,8.9,1.2,0,0,0,6.6,3.2,0.6,0,0,0
57.1,286,27.5,8.9,0,0,0,6.6,8.9,3.2,1,0,0
31.4,287,7.8,1.5,0,0,0,6.6,54.1,18.1,0,0,0
8.6,288,2.4,1.4,0.7,0.2,0,6.6,82.4,62.5,13.6,0,0
40.5,289,1.5,0.3,0,0,0,6.6,51.3,18.8,5.2,0.7,0
63.2,290,2.9,0,0,0,0,0,33.8,6.4,1.3,0,0
7.4,291,92.7,76.8,54.5,36.6,15.6,0,0,0,0,0,0
93.9,292,5.6,0,0,0,0,0,0.6,0,0,0,0
41.1,293,50.6,5.6,0.1,0,0,0,8.4,1.4,1.1,0.2,0
2.3,294,97.3,82.4,54.6,17.5,6.1,0,0.3,0,0,0,0
13.9,295,0.7,0,0,0,0,0,85.3,50,15.9,2.8,0.1
14.5,296,1.3,0,0,0,0,0,84.3,49.3,24.3,4.5,0.4
29.6,297,70.4,41.7,3.6,0,0,0,0,0,0,0,0
51.5,298,11.7,0,0,0,0,0,36.8,8.8,0,0,0
40.4,299,0.4,0,0,0,0,0,59.2,1.8,0,0,0
58.1,300,39.3,0,0,0,0,0,2.6,0,0,0,0
32.7,301,0,0,0,0,0,0,67.3,5.2,0,0,0
11.8,302,83.6,58.2,11.9,0,0,0,4.6,2.1,0.1,0,0
73.4,303,26.6,0,0,0,0,0,0,0,0,0,0
2.9,304,0,0,0,0,0,0,97,81.9,65.7,45.7,21.4
44.6,305,0.8,0.2,0,0,0,0,54.7,29.9,9.3,0.9,0
64.9,306,6.3,1.9,1.3,0,0,0,28.7,15.1,6.7,1.4,0
46.6,307,18.3,0,0,0,0,0,35.1,20,12.6,3.5,0.7
48.4,308,51.2,0.1,0,0,0,0,0.4,0,0,0,0
58.1,309,4.7,0,0,0,0,0,37.2,10.2,0.3,0,0
10.7,310,1.7,0.3,0,0,0,0,87.6,60.1,23.9,14.5,3.2
32.2,311,0,0,0,0,0,0,67.8,51.1,39.1,29.2,19
35.7,312,39.2,9.2,0,0,0,0,25.1,12.7,0.7,0,0
9.3,313,90.7,40,1.8,0,0,0,0,0,0,0,0
14,314,0,0,0,0,0,0,86,45.5,3.4,0,0
84.5,315,11,3.2,1.7,0.4,0,0,4.5,0.8,0.2,0,0
53.3,316,14.5,2.7,0,0,0,0,32.1,5.4,2.8,1,0
43.8,317,2.2,0.7,0,0,0,0,53.9,29.6,7.8,0.3,0
47.6,318,40.1,0.4,0,0,0,0,12.3,5.4,0.7,0,0
35.7,319,1,0,0,0,0,0,63.4,33.5,14.7,0.9,0
20.9,320,78.7,67.7,44.9,11.8,0,0,0.3,0,0,0,0
18.3,321,80.7,39.5,10.6,2.9,0,0,1,0,0,0,0
87.6,322,8.4,1.4,0,0,0,0,4,1,0,0,0
94.1,323,3,1,0,0,0,0,2.9,0,0,0,0
7.1,324,92.9,32.9,0,0,0,0,0,0,0,0,0
80,325,1.2,0,0,0,0,0,18.9,0.4,0,0,0
12.5,326,87.6,59.2,14.2,0,0,0,0,0,0,0,0
35.3,327,64.7,13.2,0,0,0,0,0,0,0,0,0
96.4,328,3.5,0,0,0,0,0,0.1,0,0,0,0
86.2,329,4.3,0.1,0,0,0,0,9.5,0,0,0,0
53.3,330,2.8,0,0,0,0,0,43.9,23.7,1.1,0,0
59.6,331,3,1.1,0,0,0,0,37.4,9.9,3.4,0,0
54.2,332,2.6,0.3,0,0,0,0,43.2,0,0,0,0
21.8,333,74.9,14,0,0,0,0,3.3,1.4,0.1,0,0
49.5,334,0,0,0,0,0,0,50.5,4.3,0,0,0
79.7,335,1.4,0,0,0,0,0,18.9,6.4,2.7,0.3,0
44.6,336,1.1,0,0,0,0,0,54.3,5.4,0,0,0
96.4,337,1.1,0,0,0,0,0,2.6,0,0,0,0
16.9,338,1.4,0,0,0,0,0,81.7,27,0,0,0
69.7,339,1.1,0,0,0,0,0,29.3,1.5,0,0,0
9.4,340,90.3,62.9,16.2,0,0,0,0.2,0,0,0,0
19.4,341,64.8,51.7,21.8,0,0,0,15.8,7.4,0.1,0,0
32.9,342,65.1,43.2,0.8,0,0,0,2,0,0,0,0
40.6,343,27.5,0.3,0,0,0,0,31.9,12.1,5,0.7,0
10.6,344,89.4,67.9,29.5,0,0,0,0,0,0,0,0
51.8,345,45,0,0,0,0,0,3.2,0,0,0,0
69.8,346,0.1,0,0,0,0,0,30.1,0,0,0,0
100,347,0,0,0,0,0,0,0,0,0,0,0
91.6,348,7.5,0,0,0,0,0,1,0,0,0,0
70,349,2.9,0,0,0,0,0,27.1,2.2,0.1,0,0
61.5,350,13.5,0,0,0,0,0,25,8.7,2.5,0,0
83,351,3,0,0,0,0,0,14,0,0,0,0
50.7,352,1.5,0,0,0,0,0,47.9,14.9,0,0,0
96.5,353,2.3,0.6,0,0,0,0,1.2,0,0,0,0
76,354,0.7,0,0,0,0,0,23.2,0.8,0,0,0
24,355,0.4,0,0,0,0,0,75.6,29.1,13.2,1.2,0
59.2,356,1.7,0,0,0,0,0,39.2,9.8,0.8,0,0
92.3,357,3.9,0.6,0,0,0,0,3.9,0.3,0,0,0
55.7,358,9.5,0.7,0,0,0,0,34.8,5.4,0,0,0
10.6,359,89.3,38,0.3,0,0,0,0.1,0,0,0,0
57.1,360,2.6,0,0,0,0,0,40.2,11.7,0,0,0
3.1,361,96.9,91.3,48.8,0.6,0,0,0,0,0,0,0
45.3,362,53,13.7,0,0,0,0,1.7,0,0,0,0
66.3,363,32.7,0,0,0,0,0,1,0,0,0,0
2.8,364,96.9,37.3,0.7,0,0,0,0.3,0,0,0,0
59.5,365,35.2,1,0,0,0,0,5.3,3.4,1.4,0,0
32,366,67.1,26.6,2.4,0,0,0,0.8,0.2,0,0,0
82.2,367,9.2,0,0,0,0,0,8.7,0,0,0,0
82.5,368,15.9,0,0,0,0,0,1.6,0.2,0,0,0
6.9,369,91.8,54.1,15,0,0,0,1.4,0,0,0,0
6.2,370,93.2,88.7,61.4,23.8,0.1,0,0.7,0,0,0,0
48.7,371,0,0,0,0,0,0,51.3,2.6,0,0,0
17.6,372,0.5,0,0,0,0,0,81.8,41.9,5.2,0,0
54.5,373,36.1,0.7,0,0,0,0,9.4,5.5,1.5,0.1,0
17.9,374,1.1,0,0,0,0,0,81,34.6,5.3,1.3,0
63.4,375,33.2,3.5,0,0,0,0,3.4,0,0,0,0
49,376,1.7,0,0,0,0,0,49.4,0,0,0,0
85.5,377,3.8,0,0,0,0,0,10.8,7.9,5.9,2.1,0.1
