"L=longest; SK=most skillful; Obs=observed, in KAF for water year (WY) streamflow"			
WY	COLeesL	COLeesSK	COLeesObs
1813	9386.3231	12534.526	
1814	10040.696	10748.799	
1815	16585.55	15683.211	
1816	19883.315	18680.729	
1817	17607.672	15494.714	
1818	11869.285	13983.669	
1819	10734.304	14070.696	
1820	9906.1656	11635.143	
1821	12162.074	15667.717	
1822	11547.656	10281.121	
1823	11622.938	11895.791	
1824	9929.134	8014.508	
1825	13666.287	10530.858	
1826	17164.347	13841.265	
1827	12915.578	13038.417	
1828	18182.35	19920.434	
1829	10273.472	9825.577	
1830	13238.597	12356.536	
1831	12551.455	15587.204	
1832	16720.939	20002.783	
1833	14478.613	15058.878	
1834	10583.639	11015.332	
1835	15629.289	14610.868	
1836	16487.175	15170.446	
1837	20113.694	22135.617	
1838	21389.894	22213.388	
1839	19382.864	21205.825	
1840	20396.611	22595.892	
1841	20320.563	20845.801	
1842	13930.387	11950.759	
1843	16741.811	18919.030	
1844	18332.181	16128.626	
1845	10378.749	6423.305	
1846	11988.816	8425.582	
1847	7732.5903	6053.075	
1848	13285.892	10399.904	
1849	20133.429	21094.799	
1850	16185.696	18691.900	
1851	8537.0814	7119.185	
1852	12966.364	14008.207	
1853	13925.507	18940.968	
1854	11467.114	14550.268	
1855	12642.878	8718.808	
1856	16797.576	13171.857	
1857	12917.693	11147.388	
1858	17910.882	15840.035	
1859	12831.089	15271.166	
1860	15190.816	16975.099	
1861	8310.0177	8661.428	
1862	19494.763	20137.495	
1863	11055.444	11872.045	
1864	10141.145	12739.522	
1865	14725.515	15516.931	
1866	20174.454	23406.370	
1867	21331.224	23913.376	
1868	17396.993	20717.304	
1869	20251.613	19660.535	
1870	15204.034	16812.631	
1871	11206.009	9195.420	
1872	16756.127	15659.564	
1873	11509.149	14054.578	
1874	10907.212	10237.103	
1875	12137.375	12562.327	
1876	11604.136	14268.766	
1877	15523.663	12744.445	
1878	15147.651	12384.595	
1879	10676.341	8503.618	
1880	12803.405	12450.564	
1881	11946.415	12293.529	
1882	11148.859	10537.202	
1883	10112.115	11612.211	
1884	17480.747	19124.835	
1885	17089.795	18631.863	
1886	14428.007	13988.049	
1887	11074.568	9863.876	
1888	12456.567	11124.709	
1889	11723.038	9806.898	
1890	14906.9	11989.638	
1891	12724.452	14010.723	
1892	16466.197	14602.440	
1893	10599.478	10764.057	
1894	11367.395	12125.068	
1895	11462.409	16429.722	
1896	9118.344	9021.941	
1897	18337.704	17788.643	
1898	16610.688	13450.575	
1899	10020.536	11226.327	
1900	10014.986	10778.506	
1901	11654.648	10971.362	
1902	9037.023	6730.620	
1903	13037.78	12960.866	
1904	9523.1137	10841.276	
1905	15412.272	14186.010	
1906	15499.095	18374.801	18214.678
1907	16544.337	19098.403	21234.305
1908	13245.947	12453.913	11773.952
1909	16243.348	18574.503	21841.427
1910	15001.889	14507.541	14736.67
1911	14765.358	17028.883	15125.081
1912	18144.23	17901.491	19082.127
1913	17069.557	14027.344	14472.192
1914	20619.646	20137.228	21066.767
